English,Hebrew
•	Abrasive,שוחק
•	Absolute,מוחלט
•	Absorber,סופג
•	Absorption,קליטה
•	Access,גישה
•	Acceleration,תאוצה
•	Accessible,נגיש
•	Accessory,אביזר
•	Accomplishment,"השג, סיום"
•	Accumulated,מצטבר
•	Accurate,מדויק
•	Acid,חומצה
"•	Activate, Actuate",להפעיל
•	Adapt,"להתאים, לסגל, לעבד"
•	Adaptor,מתאם
•	Add,להוסיף
•	Additive,תוסף
•	Adequate,מספיק
•	Adhesive,דבק
•	Adjacent to,"סמוך ל-, קרוב"
•	Adjust,"לכוון, לכוונת"
•	Adjusted,מותאם
•	Adjustment,כיוונון
•	Aft,אחורי
•	Aging,הזדקנות
•	Aileron,מאזנת
•	Airborne,מעוף
•	Airworthiness,כשרות לטיסה
•	Align,"ליישר, לסדר בשורה"
•	Alike,דומה
•	All of it,כולו
•	Allowable,מותר
•	Alteration,שינוי
•	Altitude,גובה
•	Ambient,"אוקף, מקיף, סובב"
•	Amendment,תיקון
•	Amplifier,מגבר
•	Amplify,להגביר
•	Analyse,לנתח
•	Anchor,"עוגן, לקרקע, לתקן"
•	Angle,זווית
•	Annular,טבעתי
•	Anomaly,"אי-רגילות, חריגה, סטייה"
•	Appliance,כלי
•	Applicability,ישימות
•	Approach,"גישה, לגשת"
•	Approximately,בקירוב
•	Arcing,קשת
•	Area,"שטח, אזור"
•	Arming,דריכה
•	Ascertain,לוודא
•	Assemble,להרכיב
•	Assembly,מכלול
•	Assignment,"הקצאה, שיוך"
•	Associated,"קשור ל-, לצרף"
•	Attach,לצרף
•	Attachment,נספח
•	Attitude,מצב
•	Audible,נשמע
•	Audio,שמיעה
•	Available,זמין
•	Avoid,להימנע
•	Axis,ציר
•	Blade,להב
•	Bleed,לדמם
•	Blister,יבלת
•	Blocked,חסום
•	Blower,מפוח
•	Blow-out,התפרצות
•	Blueprint,תכנית
•	Board,לוח
•	Body,גוף
•	Bolt,"בורג, לסגור/להבריג/לההדק"
•	Bonding,הדבקה
•	Booster,מאיץ
•	Bottom,תחתון
•	Breakdown,תקלה
•	Brief,תדריך
•	Broken,שבור
•	Buckle,אבזם
•	Buffeting,התעלפות
•	Bulb,נורה
•	Bulging,התנפחות
•	Bulkhead,מחיצה
•	Burst,התפרצות
•	Cabin,תא
•	Calibration,כיול
•	Cancel,לבטל
•	Cap,"כיסוי, כיפה"
•	Capacity,"קיבולת, כושר"
•	Cargo,מטען
•	Cartridge,מחסנית
•	Catch,לתפוס
•	Caution,זהירות
•	Cavity,חלל
•	Cell,תא
•	Center,מרכז
•	Central,מרכזי
•	Certify,לאשר
•	Chafing,"שחיקה, שפשוף"
•	Chamber,תא
•	Change,"שינוי, לשנות, להחליף"
•	Channel,ערוץ
•	Characteristic,מאפיין
•	Characteristics,מאפיינים
•	Charge,"מטען, לטעון"
•	Charger,מטען
•	Chart,תרשים
•	Check,לבדוק
•	Chief,ראשי
•	Chip,שבב
•	Chord,מיתר
•	Circuit,מעגל
•	Circuit Breaker,מפסק
•	Clamp,"תפס, מלחץ"
•	Classification,סיווג
•	Clogged,חסום
•	Close,"קרוב, לסגור"
•	Coat,"ציפוי, מעיל"
•	Coating,ציפוי
•	Coil,סליל
•	Combine,לשלב
•	Combustible,דליק
•	Combustion Chamber,תא בעירה
•	Compartment,תא
•	Compensate,לפצות
•	Compensation,פיצוי
•	Compliance,"התאמה, מילוי, ציות, שליחה"
•	Complicated,מורכב
•	Component,רכיב
"•	Compound, Composite","מורכב, תרכובת, מרוכב"
•	Compression,דחיסה
•	Compressor,מדחס
•	Comprise,לכלול
•	Concise,תמציתי
•	Condensation,עיבוי
•	Conductor,מוליך (חשמל)
•	Configuration,תצורה
•	Confirm,לאשר
•	Conforms (to),תואם
•	Connect,לחבר
•	Connection,חיבור
•	Consist of,"מכיל, מורכב מ-"
•	Consistency,עקביות
•	Constant,קבוע
•	Construction,בנייה
•	Consumption,צריכה
•	Contact,מגע
•	Container,מיכל
•	Contamination,זיהום
•	Continuation,המשך
•	Continuity,רציפות
•	Control,בקשה
•	Controls,בקרים
‏- Convenient,נוח
‏- Conversion,המרה
‏- Converter,ממיר
‏- Conveyor,מסוע
‏- Coolant,נוזל קירור
‏- Coordinate,לתאם
‏- Core,ליבה
‏- Correct,לתקן
‏- Correction,תיקון
‏- Corrective Action,פעולה מתקנת
‏- Corresponding,מקביל
‏- Counter,מונה
‏- Counterclockwise,נגד השעון
‏- Countersink,לשקוע
‏- Coupler,מצמד
‏- Course,מסלול
‏- Cover,"כיסוי, מכסה"
‏- Cowling,מעטה
‏- Crack,סדק
‏- Crank,ארכובה
‏- Cross,"צלב, חוצה"
‏- Crossfeed,הזנה צולבת
‏- Cruise,שיוט
‏- Cumulative,מצטבר
‏- Current,"זרם, נוכחי"
‏- Curve,עקומה
‏- Curved,"מעוקם, כפוף"
‏- Cycle,מחזור
‏- Damage,"נזק, לגרום נזק"
‏- Damp,"לח, רטוב"
‏- Damper,משכך
‏- Danger,סכנה
‏- Dangerous,מסוכן
‏- Data,נתונים
